Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;;;
30949009;Enterococcus casseliflavus;Enterococcus casseliflavus;Enterococcus casseliflavus (organism);;;01.01.2013;;;TA;1;;;;
113722005;Enterococcus cecorum;Enterococcus cecorum;Enterococcus cecorum (organism);;;01.01.2013;;;TA;1;;;;
113723000;Enterococcus columbae;Enterococcus columbae;Enterococcus columbae (organism);;;01.01.2013;;;TA;1;;;;
46464008;Enterococcus durans;Enterococcus durans;Enterococcus durans (organism);;;01.01.2013;;;TA;1;;;;
78065002;Enterococcus faecalis;Enterococcus faecalis;Enterococcus faecalis (organism);;;01.01.2013;;;TA;1;;;;
90272000;Enterococcus faecium;Enterococcus faecium;Enterococcus faecium (organism);;;01.01.2013;;;TA;1;;;;
53233007;Enterococcus gallinarum;Enterococcus gallinarum;Enterococcus gallinarum (organism);;;01.01.2013;;;TA;1;;;;
73852008;Enterococcus hirae;Enterococcus hirae;Enterococcus hirae (organism);;;01.01.2013;;;TA;1;;;;
103437000;Enterococcus raffinosus;Enterococcus raffinosus;Enterococcus raffinosus (organism);;;01.01.2013;;;TA;1;;;;
103438005;Enterococcus saccharolyticus;Enterococcus saccharolyticus;Enterococcus saccharolyticus (organism);;;01.01.2013;;;TA;1;;;;
2785000;Enterococcus sp;Enterococcus sp;Genus Enterococcus (organism);;;01.01.2013;;;TA;1;;;;
424710004;Enterococcus villorum;Enterococcus villorum;Enterococcus villorum (organism);;;01.01.2013;;;TA;1;;;;
69239002;Enteroviirus;Enteroviirus;Human enterovirus (organism);;;01.01.2013;;;TA;1;;;;
83285000;EPEC;EPEC;Enteropathogenic Escherichia coli (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Escherichia coli, enteropatogeenne (EPEC) -> EPEC;;;
407207009;EPEC, serotüüp O114:H2;EPEC, serotüüp O114:H2;Enteropathogenic Escherichia coli, serotype O114:H2 (organism);;;01.01.2013;;;TA;1;;;;
40168006;Epstein-Barri viirus;Epstein-Barri viirus;Human herpesvirus 4 (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud;;;
2471532017;ESBL Escherichia coli;ESBL Escherichia coli;ESBL Escherichia coli;;;28.10.2014;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 409800005;;;
409801009;ESBL Klebsiella pneumoniae;ESBL Klebsiella pneumoniae;Extended spectrum beta-lactamase producing Klebsiella pneumoniae (organism);;;01.01.2013;;;TA;1;;;;
112283007;Escherichia coli;Escherichia coli;Escherichia coli (organism);;;01.01.2013;;;TA;1;;;;
