CODE;PARENT_CODE;ITEM_LEVEL;NAME_ET;NAME_EN;NAME_RU;SHORTNAME_ET;SHORTNAME_EN;SHORTNAME_RU;DESCRIPTION_ET;DESCRIPTION_EN;DESCRIPTION_RU;INCLUDES_ET;INCLUDES_EN;INCLUDES_RU;INCLUDES_ALSO_ET;INCLUDES_ALSO_EN;INCLUDES_ALSO_RU;EXCLUDES_ET;EXCLUDES_EN;EXCLUDES_RU;NOTES;MEAS_UNIT;ALTTEXT_ET;ALTTEXT_EN;ALTTEXT_RU;VALIDFROM;VALIDTO
8081;0917;3;Tallikeste küla;Tallikeste village;??????? ??????????;;;;Võru maakond, Võru vald, Tallikeste küla;Võru county, Võru rural municipality, Tallikeste village;???????? ????, ??????? ????, ??????? ??????????;;;;;;;;;;;;;;;;
8083;0712;3;Tali küla;Tali village;??????? ????;;;;Pärnu maakond, Saarde vald, Tali küla;Pärnu county, Saarde rural municipality, Tali village;????????? ????, ??????? ??????, ??????? ????;;;;;;;;;;;;;;;;
8084;0714;3;Talila küla;Talila village;??????? ??????;;;;Saare maakond, Saaremaa vald, Talila küla;Saare county, Saaremaa rural municipality, Talila village;????????? ????, ??????? ????????, ??????? ??????;;;;;;;;;;;;;;;;
8085;0283;3;Talvikese küla;Talvikese village;??????? ?????????;;;;Tartu maakond, Kambja vald, Talvikese küla;Tartu county, Kambja rural municipality, Talvikese village;????????? ????, ??????? ??????, ??????? ?????????;;;;;;;;;;;;;;;;
8086;0698;3;Tallima küla;Tallima village;??????? ???????;;;;Võru maakond, Rõuge vald, Tallima küla;Võru county, Rõuge rural municipality, Tallima village;???????? ????, ??????? ?????, ??????? ???????;;;;;;;;;;;;;;;;
8088;0430;3;Tamba küla;Tamba village;??????? ?????;;;;Pärnu maakond, Lääneranna vald, Tamba küla;Pärnu county, Lääneranna rural municipality, Tamba village;????????? ????, ??????? ??????????, ??????? ?????;;;;;;;;;;;;;;;;
8091;0430;3;Kõima küla;Kõima village;??????? ?????;;;;Pärnu maakond, Lääneranna vald, Kõima küla;Pärnu county, Lääneranna rural municipality, Kõima village;????????? ????, ??????? ??????????, ??????? ?????;;;;;;;;;;;;;;;;
8092;0430;3;Tamme küla;Tamme village;??????? ?????;;;;Pärnu maakond, Lääneranna vald, Tamme küla;Pärnu county, Lääneranna rural municipality, Tamme village;????????? ????, ??????? ??????????, ??????? ?????;;;;;;;;;;;;;;;;
8094;0171;3;Tamme küla;Tamme village;??????? ?????;;;;Tartu maakond, Elva vald, Tamme küla;Tartu county, Elva rural municipality, Tamme village;????????? ????, ??????? ????, ??????? ?????;;;;;;;;;;;;;;;;
8095;0205;3;Tammela küla;Tammela village;??????? ???????;;;;Hiiu maakond, Hiiumaa vald, Tammela küla;Hiiu county, Hiiumaa rural municipality, Tammela village;???????? ????, ??????? ???????, ??????? ???????;;;;;;;;;;;;;;;;
8097;0255;3;Tammeküla;Tammeküla village;??????? ?????????;;;;Järva maakond, Järva vald, Tammeküla;Järva county, Järva rural municipality, Tammeküla village;???????? ????, ??????? ????, ??????? ?????????;;;;;;;;;;;;;;;;
8098;0719;3;Tammemäe küla;Tammemäe village;??????? ????????;;;;Harju maakond, Saku vald, Tammemäe küla;Harju county, Saku rural municipality, Tammemäe village;????????? ????, ??????? ????, ??????? ????????;;;;;;;;;;;;;;;;
8099;0714;3;Tammese küla;Tammese village;??????? ???????;;;;Saare maakond, Saaremaa vald, Tammese küla;Saare county, Saaremaa rural municipality, Tammese village;????????? ????, ??????? ????????, ??????? ???????;;;;;;;;;;;;;;;;
8102;0486;3;Tammessaare küla;Tammessaare village;??????? ???????????;;;;Jõgeva maakond, Mustvee vald, Tammessaare küla;Jõgeva county, Mustvee rural municipality, Tammessaare village;?????????? ????, ??????? ???????, ??????? ???????????;;;;;;;;;;;;;;;;
8104;0130;3;Tammetaguse küla;Tammetaguse village;??????? ???????????;;;;Ida-Viru maakond, Alutaguse vald, Tammetaguse küla;Ida-Viru county, Alutaguse rural municipality, Tammetaguse village;???-???????? ????, ??????? ?????????, ??????? ???????????;;;;;;;;;;;;;;;;
8106;0441;3;Tammiku küla;Tammiku village;??????? ???????;;;;Lääne maakond, Lääne-Nigula vald, Tammiku küla;Lääne county, Lääne-Nigula rural municipality, Tammiku village;????????? ????, ??????? ?????-??????, ??????? ???????;;;;;;;;;;;;;;;;
8107;0291;3;Tammevaldma küla;Tammevaldma village;??????? ???????????;;;;Tartu maakond, Kastre vald, Tammevaldma küla;Tartu county, Kastre rural municipality, Tammevaldma village;????????? ????, ??????? ??????, ??????? ???????????;;;;;;;;;;;;;;;;
8108;0901;3;Tammiku küla;Tammiku village;??????? ???????;;;;Lääne-Viru maakond, Vinni vald, Tammiku küla;Lääne-Viru county, Vinni rural municipality, Tammiku village;?????-???????? ????, ??????? ?????, ??????? ???????;;;;;;;;;;;;;;;;
8109;0917;3;Voki-Tamme küla;Voki-Tamme village;??????? ????-?????;;;;Võru maakond, Võru vald, Voki-Tamme küla;Võru county, Võru rural municipality, Voki-Tamme village;???????? ????, ??????? ????, ??????? ????-?????;;;;;;;;;;;;;;;;
8110;0255;3;Tammiku küla;Tammiku village;??????? ???????;;;;Järva maakond, Järva vald, Tammiku küla;Järva county, Järva rural municipality, Tammiku village;???????? ????, ??????? ????, ??????? ???????;;;;;;;;;;;;;;;;
8112;0338;3;Tammiku küla;Tammiku village;??????? ???????;;;;Harju maakond, Kose vald, Tammiku küla;Harju county, Kose rural municipality, Tammiku village;????????? ????, ??????? ????, ??????? ???????;;;;;;;;;;;;;;;;
8113;0618;3;Tammiku küla;Tammiku village;??????? ???????;;;;Jõgeva maakond, Põltsamaa vald, Tammiku küla;Jõgeva county, Põltsamaa rural municipality, Tammiku village;?????????? ????, ??????? ?????????, ??????? ???????;;;;;;;;;;;;;;;;
8114;0251;3;Tammiku alevik;Tammiku small town;???????? ??????? ???????;;;;Ida-Viru maakond, Jõhvi vald, Tammiku alevik;Ida-Viru county, Jõhvi rural municipality, Tammiku small town;???-???????? ????, ??????? ?????, ???????? ??????? ???????;;;;;;;;;;;;;;;;
8115;0928;3;Tammiku küla;Tammiku village;??????? ???????;;;;Lääne-Viru maakond, Väike-Maarja vald, Tammiku küla;Lääne-Viru county, Väike-Maarja rural municipality, Tammiku village;?????-???????? ????, ??????? ?????-??????, ??????? ???????;;;;;;;;;;;;;;;;
8116;0184;3;Tammiku küla;Tammiku village;??????? ???????;;;;Lääne maakond, Haapsalu linn, Tammiku küla;Lääne county, Haapsalu city, Tammiku village;????????? ????, ????? ????????, ??????? ???????;;;;;;;;;;;;;;;;
8117;0486;3;Tammispää küla;Tammispää village;??????? ?????????;;;;Jõgeva maakond, Mustvee vald, Tammispää küla;Jõgeva county, Mustvee rural municipality, Tammispää village;?????????? ????, ??????? ???????, ??????? ?????????;;;;;;;;;;;;;;;;
8118;0353;3;Tammispea küla;Tammispea village;??????? ?????????;;;;Harju maakond, Kuusalu vald, Tammispea küla;Harju county, Kuusalu rural municipality, Tammispea village;????????? ????, ??????? ???????, ??????? ?????????;;;;;;;;;;;;;;;;
8120;0809;3;Tammiste küla;Tammiste village;??????? ????????;;;;Pärnu maakond, Tori vald, Tammiste küla;Pärnu county, Tori rural municipality, Tammiste village;????????? ????, ??????? ????, ??????? ????????;;;;;;;;;;;;;;;;
8121;0171;3;Tammiste küla;Tammiste village;??????? ????????;;;;Tartu maakond, Elva vald, Tammiste küla;Tartu county, Elva rural municipality, Tammiste village;????????? ????, ??????? ????, ??????? ????????;;;;;;;;;;;;;;;;
8122;0205;3;Tammistu küla;Tammistu village;??????? ????????;;;;Hiiu maakond, Hiiumaa vald, Tammistu küla;Hiiu county, Hiiumaa rural municipality, Tammistu village;???????? ????, ??????? ???????, ??????? ????????;;;;;;;;;;;;;;;;
8124;0917;3;Tammsaare küla;Tammsaare village;??????? ?????????;;;;Võru maakond, Võru vald, Tammsaare küla;Võru county, Võru rural municipality, Tammsaare village;???????? ????, ??????? ????, ??????? ?????????;;;;;;;;;;;;;;;;
8125;0353;3;Tammistu küla;Tammistu village;??????? ????????;;;;Harju maakond, Kuusalu vald, Tammistu küla;Harju county, Kuusalu rural municipality, Tammistu village;????????? ????, ??????? ???????, ??????? ????????;;;;;;;;;;;;;;;;
8126;0890;3;Tammneeme küla;Tammneeme village;??????? ?????????;;;;Harju maakond, Viimsi vald, Tammneeme küla;Harju county, Viimsi rural municipality, Tammneeme village;????????? ????, ??????? ??????, ??????? ?????????;;;;;;;;;;;;;;;;
8128;0714;3;Tammuna küla;Tammuna village;??????? ???????;;;;Saare maakond, Saaremaa vald, Tammuna küla;Saare county, Saaremaa rural municipality, Tammuna village;????????? ????, ??????? ????????, ??????? ???????;;;;;;;;;;;;;;;;
8131;0624;3;Tammuru küla;Tammuru village;??????? ???????;;;;Pärnu maakond, Pärnu linn, Tammuru küla;Pärnu county, Pärnu city, Tammuru village;????????? ????, ????? ?????, ??????? ???????;;;;;;;;;;;;;;;;
8132;0792;3;Tamsalu linn;Tamsalu city;????? ???????;;;;Lääne-Viru maakond, Tapa vald, Tamsalu linn;Lääne-Viru county, Tapa rural municipality, Tamsalu city;?????-???????? ????, ??????? ????, ????? ???????;;;;;;;;;;;;;;;;
8133;0528;3;Tamsa küla;Tamsa village;??????? ?????;;;;Tartu maakond, Nõo vald, Tamsa küla;Tartu county, Nõo rural municipality, Tamsa village;????????? ????, ??????? ???, ??????? ?????;;;;;;;;;;;;;;;;
8134;0796;3;Tammistu küla;Tammistu village;??????? ????????;;;;Tartu maakond, Tartu vald, Tammistu küla;Tartu county, Tartu rural municipality, Tammistu village;????????? ????, ??????? ?????, ??????? ????????;;;;;;;;;;;;;;;;
8136;0478;3;Tamse küla;Tamse village;??????? ?????;;;;Saare maakond, Muhu vald, Tamse küla;Saare county, Muhu rural municipality, Tamse village;????????? ????, ??????? ????, ??????? ?????;;;;;;;;;;;;;;;;
8137;0255;3;Tamsi küla;Tamsi village;??????? ?????;;;;Järva maakond, Järva vald, Tamsi küla;Järva county, Järva rural municipality, Tamsi village;???????? ????, ??????? ????, ??????? ?????;;;;;;;;;;;;;;;;
8138;0668;3;Tamsi küla;Tamsi village;??????? ?????;;;;Rapla maakond, Rapla vald, Tamsi küla;Rapla county, Rapla rural municipality, Tamsi village;????????? ????, ??????? ?????, ??????? ?????;;;;;;;;;;;;;;;;
8139;0668;3;Tapupere küla;Tapupere village;??????? ????????;;;;Rapla maakond, Rapla vald, Tapupere küla;Rapla county, Rapla rural municipality, Tapupere village;????????? ????, ??????? ?????, ??????? ????????;;;;;;;;;;;;;;;;
8140;0792;3;Tapa linn;Tapa city;????? ????;;;;Lääne-Viru maakond, Tapa vald, Tapa linn;Lääne-Viru county, Tapa rural municipality, Tapa city;?????-???????? ????, ??????? ????, ????? ????;;;;;;;;;;;;;;;;
8141;0618;3;Tapiku küla;Tapiku village;??????? ??????;;;;Jõgeva maakond, Põltsamaa vald, Tapiku küla;Jõgeva county, Põltsamaa rural municipality, Tapiku village;?????????? ????, ??????? ?????????, ??????? ??????;;;;;;;;;;;;;;;;
8144;0353;3;Tapurla küla;Tapurla village;??????? ???????;;;;Harju maakond, Kuusalu vald, Tapurla küla;Harju county, Kuusalu rural municipality, Tapurla village;????????? ????, ??????? ???????, ??????? ???????;;;;;;;;;;;;;;;;
8147;0130;3;Tarakuse küla;Tarakuse village;??????? ????????;;;;Ida-Viru maakond, Alutaguse vald, Tarakuse küla;Ida-Viru county, Alutaguse rural municipality, Tarakuse village;???-???????? ????, ??????? ?????????, ??????? ????????;;;;;;;;;;;;;;;;
8149;0486;3;Tarakvere küla;Tarakvere village;??????? ?????????;;;;Jõgeva maakond, Mustvee vald, Tarakvere küla;Jõgeva county, Mustvee rural municipality, Tarakvere village;?????????? ????, ??????? ???????, ??????? ?????????;;;;;;;;;;;;;;;;
8150;0205;3;Tareste küla;Tareste village;??????? ???????;;;;Hiiu maakond, Hiiumaa vald, Tareste küla;Hiiu county, Hiiumaa rural municipality, Tareste village;???????? ????, ??????? ???????, ??????? ???????;;;;;;;;;;;;;;;;
8151;0793;3;Tartu linn;Tartu city;????? ?????;;;;Tartu maakond, Tartu linn, Tartu linn;Tartu county, Tartu city, Tartu city;????????? ????, ????? ?????, ????? ?????;;;;;;;;;;;;;;;;
8152;0567;3;Tarbja küla;Tarbja village;??????? ??????;;;;Järva maakond, Paide linn, Tarbja küla;Järva county, Paide city, Tarbja village;???????? ????, ????? ?????, ??????? ??????;;;;;;;;;;;;;;;;
8153;0714;3;Tareste küla;Tareste village;??????? ???????;;;;Saare maakond, Saaremaa vald, Tareste küla;Saare county, Saaremaa rural municipality, Tareste village;????????? ????, ??????? ????????, ??????? ???????;;;;;;;;;;;;;;;;
8154;0442;3;Tarumaa küla;Tarumaa village;??????? ???????;;;;Ida-Viru maakond, Lüganuse vald, Tarumaa küla;Ida-Viru county, Lüganuse rural municipality, Tarumaa village;???-???????? ????, ??????? ????????, ??????? ???????;;;;;;;;;;;;;;;;
8156;0638;3;Tarva küla;Tarva village;??????? ?????;;;;Pärnu maakond, Põhja-Pärnumaa vald, Tarva küla;Pärnu county, Põhja-Pärnumaa rural municipality, Tarva village;????????? ????, ??????? ?????-????????, ??????? ?????;;;;;;;;;;;;;;;;
8157;0430;3;Tarva küla;Tarva village;??????? ?????;;;;Pärnu maakond, Lääneranna vald, Tarva küla;Pärnu county, Lääneranna rural municipality, Tarva village;????????? ????, ??????? ??????????, ??????? ?????;;;;;;;;;;;;;;;;
8158;0714;3;Taritu küla;Taritu village;??????? ??????;;;;Saare maakond, Saaremaa vald, Taritu küla;Saare county, Saaremaa rural municipality, Taritu village;????????? ????, ??????? ????????, ??????? ??????;;;;;;;;;;;;;;;;
8159;0899;3;Tarvastu küla;Tarvastu village;??????? ????????;;;;Viljandi maakond, Viljandi vald, Tarvastu küla;Viljandi county, Viljandi rural municipality, Tarvastu village;???????????? ????, ??????? ????????, ??????? ????????;;;;;;;;;;;;;;;;
8162;0205;3;Taterma küla;Taterma village;??????? ???????;;;;Hiiu maakond, Hiiumaa vald, Taterma küla;Hiiu county, Hiiumaa rural municipality, Taterma village;???????? ????, ??????? ???????, ??????? ???????;;;;;;;;;;;;;;;;
8165;0283;3;Tatra küla;Tatra village;??????? ?????;;;;Tartu maakond, Kambja vald, Tatra küla;Tartu county, Kambja rural municipality, Tatra village;????????? ????, ??????? ??????, ??????? ?????;;;;;;;;;;;;;;;;
