Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
413420000;;Achromobacter piechaudii;Achromobacter piechaudii (organism);;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
413421001;;Achromobacter ruhlandii;Achromobacter ruhlandii (organism);;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91620006;;Achromobacter sp;Genus Achromobacter (organism);;0;01.07.2014;;09.12.2016;Eesti Laborimeditsiini Ühing;1;SNOMED CT kood muutus versioonis 3. Vana kood 413423003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
413422008;;Achromobacter spanius;Achromobacter spanius (organism);;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
413424009;;Achromobacter xylosoxidans;Achromobacter xylosoxidans (organism);;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423897003;;Achromobacter xylosoxidans ssp xylosoxidans;Achromobacter xylosoxidans xylosoxidans (organism);;0;01.07.2014;30.11.2021;;Eesti Laborimeditsiini Ühing;0;Versioonis 11 tunnistatud kehtetuks, seda asendab väärtus koodiga 413424009.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63005002;;Acidaminococcus fermentans;Acidaminococcus fermentans (organism);;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2601000146107;;Acidaminococcus intestini;Acidaminococcus intestini (organism);;0;09.12.2016;;;Eesti Laborimeditsiini Ühing;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28207003;;Acidaminococcus sp;Genus Acidaminococcus (organism);;0;01.07.2014;;09.12.2016;Eesti Laborimeditsiini Ühing;1;SNOMED CT kood muutus versioonis 3. Vana kood 131202007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422465000;;Acidiphilium acidophilum;Acidiphilium acidophilum (organism);;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426716008;;Acidiphilium cryptum;Acidiphilium cryptum (organism);;0;31.05.2022;;;Eesti Laborimeditsiini Ühing;1;Versioonis 12 lisatud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422628008;;Acidiphilium sp;Genus Acidiphilium (organism);;0;09.12.2016;;;Eesti Laborimeditsiini Ühing;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2379005;;Acidipropionibacterium acidipropionici;Acidipropionibacterium acidipropionici (organism);;0;01.07.2014;;27.09.2019;Eesti Laborimeditsiini Ühing;1;Versioonis 6 muudetud nimetust: Propionibacterium acidipropionici-> Acidipropionibacterium acidipropionici ning SNOMED CT nimetust: Propionibacterium acidipropionici (organism)-> Acidipropionibacterium acidipropionici (organism) ja tõstetud Acidipropionibacterium sp alla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86720000;;Acidipropionibacterium jensenii;Acidipropionibacterium jensenii (organism);;0;01.07.2014;;27.09.2019;Eesti Laborimeditsiini Ühing;1;Versioonis 6 muudetud nimetust: Propionibacterium jensenii-> Acidipropionibacterium jensenii ning SNOMED CT nimetust: Propionibacterium jensenii (organism)-> Acidipropionibacterium jensenii (organism) ja tõstetud Acidipropionibacterium sp alla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431383004;;Acidipropionibacterium microaerophilum;Acidipropionibacterium microaerophilum (organism);;0;01.07.2014;;27.09.2019;Eesti Laborimeditsiini Ühing;1;Versioonis 6 muudetud nimetust: Propionibacterium microaerophilum-> Acidipropionibacterium microaerophilum ning SNOMED CT nimetust: Propionibacterium microaerophilum (organism)-> Acidipropionibacterium microaerophilum (organism) ja tõstetud Acidipropionibacterium sp alla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23781000181108;;Acidipropionibacterium olivae;Acidipropionibacterium olivae (organism);;0;31.05.2022;;;Eesti Laborimeditsiini Ühing;1;Versioonis 12 lisatud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
785714004;;Acidipropionibacterium sp;Genus Acidipropionibacterium (organism);;0;27.09.2019;;;Eesti Laborimeditsiini Ühing;1;Versioonis 6 lisatud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
