Vanus (kuudes);Norm;Sugu;Graafik (vanus);Graafik (tyyp);Tsentiil
18;46,2;P;alla 2a;pea;3
19;46,3;P;alla 2a;pea;3
20;46,5;P;alla 2a;pea;3
21;46,6;P;alla 2a;pea;3
22;46,8;P;alla 2a;pea;3
23;46,9;P;alla 2a;pea;3
24;47;P;alla 2a;pea;3
0;35,9;P;alla 2a;pea;10
1;37,2;P;alla 2a;pea;10
2;38,3;P;alla 2a;pea;10
3;39,3;P;alla 2a;pea;10
4;40,3;P;alla 2a;pea;10
5;41,1;P;alla 2a;pea;10
6;42;P;alla 2a;pea;10
7;42,9;P;alla 2a;pea;10
8;43,6;P;alla 2a;pea;10
9;44,1;P;alla 2a;pea;10
10;44,8;P;alla 2a;pea;10
11;45,1;P;alla 2a;pea;10
12;45,5;P;alla 2a;pea;10
13;46;P;alla 2a;pea;10
14;46,2;P;alla 2a;pea;10
15;46,6;P;alla 2a;pea;10
16;46,8;P;alla 2a;pea;10
17;47;P;alla 2a;pea;10
18;47,2;P;alla 2a;pea;10
19;47,3;P;alla 2a;pea;10
20;47,6;P;alla 2a;pea;10
21;47,7;P;alla 2a;pea;10
22;47,8;P;alla 2a;pea;10
23;47,9;P;alla 2a;pea;10
24;48;P;alla 2a;pea;10
0;36,6;P;alla 2a;pea;25
1;37,9;P;alla 2a;pea;25
2;38,9;P;alla 2a;pea;25
3;40;P;alla 2a;pea;25
4;41;P;alla 2a;pea;25
5;42;P;alla 2a;pea;25
6;42,9;P;alla 2a;pea;25
7;43,7;P;alla 2a;pea;25
8;44,3;P;alla 2a;pea;25
9;45;P;alla 2a;pea;25
10;45,7;P;alla 2a;pea;25
11;46,1;P;alla 2a;pea;25
12;46,5;P;alla 2a;pea;25
13;47;P;alla 2a;pea;25
14;47,2;P;alla 2a;pea;25
15;47,7;P;alla 2a;pea;25
16;47,9;P;alla 2a;pea;25
17;48;P;alla 2a;pea;25
18;48,2;P;alla 2a;pea;25
19;48,4;P;alla 2a;pea;25
20;48,5;P;alla 2a;pea;25
21;48,7;P;alla 2a;pea;25
22;48,8;P;alla 2a;pea;25
23;48,9;P;alla 2a;pea;25
24;49;P;alla 2a;pea;25
0;37,6;P;alla 2a;pea;50
1;38,8;P;alla 2a;pea;50
2;39,9;P;alla 2a;pea;50
3;41;P;alla 2a;pea;50
4;42;P;alla 2a;pea;50
5;43;P;alla 2a;pea;50
6;43,9;P;alla 2a;pea;50
7;44,7;P;alla 2a;pea;50
8;45,4;P;alla 2a;pea;50
9;46;P;alla 2a;pea;50
10;46,7;P;alla 2a;pea;50
11;47,1;P;alla 2a;pea;50
12;47,6;P;alla 2a;pea;50
13;48;P;alla 2a;pea;50
14;48,2;P;alla 2a;pea;50
15;48,6;P;alla 2a;pea;50
16;48,8;P;alla 2a;pea;50
17;49;P;alla 2a;pea;50
18;49,2;P;alla 2a;pea;50
19;49,4;P;alla 2a;pea;50
20;49,6;P;alla 2a;pea;50
21;49,7;P;alla 2a;pea;50
22;49,8;P;alla 2a;pea;50
23;49,9;P;alla 2a;pea;50
24;50;P;alla 2a;pea;50
0;38,5;P;alla 2a;pea;75
1;39,8;P;alla 2a;pea;75
2;40,8;P;alla 2a;pea;75
3;41,9;P;alla 2a;pea;75
4;42,9;P;alla 2a;pea;75
5;43,8;P;alla 2a;pea;75
6;44,8;P;alla 2a;pea;75
7;45,5;P;alla 2a;pea;75
8;46,2;P;alla 2a;pea;75
9;47;P;alla 2a;pea;75
10;47,5;P;alla 2a;pea;75
11;48;P;alla 2a;pea;75
12;48,4;P;alla 2a;pea;75
13;48,9;P;alla 2a;pea;75
14;49,2;P;alla 2a;pea;75
15;49,5;P;alla 2a;pea;75
16;49,8;P;alla 2a;pea;75
17;50;P;alla 2a;pea;75
18;50,2;P;alla 2a;pea;75
19;50,5;P;alla 2a;pea;75
20;50,7;P;alla 2a;pea;75
21;50,8;P;alla 2a;pea;75
22;50,9;P;alla 2a;pea;75
23;51;P;alla 2a;pea;75
24;51,1;P;alla 2a;pea;75
0;39,5;P;alla 2a;pea;90
1;40,6;P;alla 2a;pea;90
2;41,7;P;alla 2a;pea;90
3;42,7;P;alla 2a;pea;90
4;43,8;P;alla 2a;pea;90
5;44,8;P;alla 2a;pea;90
6;45,7;P;alla 2a;pea;90
7;46,6;P;alla 2a;pea;90
8;47,3;P;alla 2a;pea;90
9;48;P;alla 2a;pea;90
10;48,7;P;alla 2a;pea;90
11;49,2;P;alla 2a;pea;90
12;49,6;P;alla 2a;pea;90
13;50;P;alla 2a;pea;90
14;50,2;P;alla 2a;pea;90
15;50,6;P;alla 2a;pea;90
16;50,9;P;alla 2a;pea;90
17;51;P;alla 2a;pea;90
18;51,2;P;alla 2a;pea;90
19;51,5;P;alla 2a;pea;90
20;51,7;P;alla 2a;pea;90
21;51,8;P;alla 2a;pea;90
22;51,9;P;alla 2a;pea;90
23;52,1;P;alla 2a;pea;90
24;52,2;P;alla 2a;pea;90
0;40,1;P;alla 2a;pea;97
1;41,2;P;alla 2a;pea;97
2;42,5;P;alla 2a;pea;97
3;43,6;P;alla 2a;pea;97
4;44,7;P;alla 2a;pea;97
5;45,6;P;alla 2a;pea;97
6;46,5;P;alla 2a;pea;97
7;47,4;P;alla 2a;pea;97
8;48,2;P;alla 2a;pea;97
9;48,9;P;alla 2a;pea;97
10;49,5;P;alla 2a;pea;97
11;50;P;alla 2a;pea;97
12;50,4;P;alla 2a;pea;97
13;50,8;P;alla 2a;pea;97
14;51,1;P;alla 2a;pea;97
15;51,5;P;alla 2a;pea;97
16;51,7;P;alla 2a;pea;97
17;52;P;alla 2a;pea;97
18;52,1;P;alla 2a;pea;97
19;52,3;P;alla 2a;pea;97
20;52,6;P;alla 2a;pea;97
21;52,8;P;alla 2a;pea;97
22;52,9;P;alla 2a;pea;97
23;53,1;P;alla 2a;pea;97
24;53,2;P;alla 2a;pea;97
0;34,7;T;alla 2a;pea;3
1;35,7;T;alla 2a;pea;3
2;36,7;T;alla 2a;pea;3
3;37,6;T;alla 2a;pea;3
4;38,5;T;alla 2a;pea;3
5;39,4;T;alla 2a;pea;3
6;40,3;T;alla 2a;pea;3
7;41;T;alla 2a;pea;3
8;41,7;T;alla 2a;pea;3
9;42,2;T;alla 2a;pea;3
10;42,7;T;alla 2a;pea;3
11;43,1;T;alla 2a;pea;3
12;43,4;T;alla 2a;pea;3
13;43,9;T;alla 2a;pea;3
14;44,2;T;alla 2a;pea;3
15;44,5;T;alla 2a;pea;3
16;44,8;T;alla 2a;pea;3
17;44,9;T;alla 2a;pea;3
18;45,1;T;alla 2a;pea;3
19;45,3;T;alla 2a;pea;3
20;45,4;T;alla 2a;pea;3
21;45,6;T;alla 2a;pea;3
22;45,7;T;alla 2a;pea;3
23;45,8;T;alla 2a;pea;3
24;46;T;alla 2a;pea;3
0;35,5;T;alla 2a;pea;10
1;36,4;T;alla 2a;pea;10
2;37,4;T;alla 2a;pea;10
3;38,3;T;alla 2a;pea;10
4;39,2;T;alla 2a;pea;10
5;40;T;alla 2a;pea;10
6;41;T;alla 2a;pea;10
7;41,8;T;alla 2a;pea;10
8;42,4;T;alla 2a;pea;10
9;43;T;alla 2a;pea;10
10;43,6;T;alla 2a;pea;10
11;44;T;alla 2a;pea;10
12;44,3;T;alla 2a;pea;10
13;44,9;T;alla 2a;pea;10
14;45,2;T;alla 2a;pea;10
15;45,6;T;alla 2a;pea;10
16;45,8;T;alla 2a;pea;10
17;45,9;T;alla 2a;pea;10
18;46,1;T;alla 2a;pea;10
19;46,3;T;alla 2a;pea;10
20;46,5;T;alla 2a;pea;10
21;46,6;T;alla 2a;pea;10
22;46,7;T;alla 2a;pea;10
23;46,8;T;alla 2a;pea;10
24;47;T;alla 2a;pea;10
0;36;T;alla 2a;pea;25
1;37;T;alla 2a;pea;25
2;38,1;T;alla 2a;pea;25
3;39,1;T;alla 2a;pea;25
4;40;T;alla 2a;pea;25
5;41;T;alla 2a;pea;25
6;41,9;T;alla 2a;pea;25
7;42,6;T;alla 2a;pea;25
8;43,3;T;alla 2a;pea;25
9;43,9;T;alla 2a;pea;25
10;44,5;T;alla 2a;pea;25
11;45;T;alla 2a;pea;25
12;45,3;T;alla 2a;pea;25
13;45,7;T;alla 2a;pea;25
14;46;T;alla 2a;pea;25
15;46,2;T;alla 2a;pea;25
16;46,6;T;alla 2a;pea;25
17;46,8;T;alla 2a;pea;25
18;46,9;T;alla 2a;pea;25
19;47,1;T;alla 2a;pea;25
20;47,3;T;alla 2a;pea;25
21;47,5;T;alla 2a;pea;25
22;47,6;T;alla 2a;pea;25
23;47,8;T;alla 2a;pea;25
24;47,9;T;alla 2a;pea;25
0;36,9;T;alla 2a;pea;50
1;38;T;alla 2a;pea;50
2;39;T;alla 2a;pea;50
3;40;T;alla 2a;pea;50
4;41;T;alla 2a;pea;50
5;42;T;alla 2a;pea;50
6;42,8;T;alla 2a;pea;50
7;43,6;T;alla 2a;pea;50
8;44,1;T;alla 2a;pea;50
9;44,9;T;alla 2a;pea;50
10;45,3;T;alla 2a;pea;50
11;45,8;T;alla 2a;pea;50
12;46,2;T;alla 2a;pea;50
13;46,5;T;alla 2a;pea;50
14;46,8;T;alla 2a;pea;50
15;47,1;T;alla 2a;pea;50
16;47,3;T;alla 2a;pea;50
17;47,7;T;alla 2a;pea;50
18;47,9;T;alla 2a;pea;50
19;48;T;alla 2a;pea;50
20;48,2;T;alla 2a;pea;50
21;48,4;T;alla 2a;pea;50
22;48,6;T;alla 2a;pea;50
23;48,8;T;alla 2a;pea;50
24;48,9;T;alla 2a;pea;50
0;37,8;T;alla 2a;pea;75
1;38,9;T;alla 2a;pea;75
2;40;T;alla 2a;pea;75
3;41;T;alla 2a;pea;75
4;42;T;alla 2a;pea;75
5;42,9;T;alla 2a;pea;75
6;43,7;T;alla 2a;pea;75
7;44,5;T;alla 2a;pea;75
8;45,1;T;alla 2a;pea;75
9;45,8;T;alla 2a;pea;75
10;46,2;T;alla 2a;pea;75
11;46,8;T;alla 2a;pea;75
12;47,2;T;alla 2a;pea;75
13;47,6;T;alla 2a;pea;75
14;48;T;alla 2a;pea;75
15;48,2;T;alla 2a;pea;75
16;48,6;T;alla 2a;pea;75
17;48,8;T;alla 2a;pea;75
18;49;T;alla 2a;pea;75
19;49,1;T;alla 2a;pea;75
20;49,3;T;alla 2a;pea;75
21;49,6;T;alla 2a;pea;75
22;49,8;T;alla 2a;pea;75
23;49,9;T;alla 2a;pea;75
24;50;T;alla 2a;pea;75
0;38,6;T;alla 2a;pea;90
1;39,6;T;alla 2a;pea;90
2;40,7;T;alla 2a;pea;90
3;41,8;T;alla 2a;pea;90
4;42,8;T;alla 2a;pea;90
5;43,7;T;alla 2a;pea;90
6;44,7;T;alla 2a;pea;90
7;45,3;T;alla 2a;pea;90
8;46;T;alla 2a;pea;90
9;46,6;T;alla 2a;pea;90
10;47,2;T;alla 2a;pea;90
11;47,8;T;alla 2a;pea;90
12;48,1;T;alla 2a;pea;90
13;48,6;T;alla 2a;pea;90
14;48,9;T;alla 2a;pea;90
15;49,1;T;alla 2a;pea;90
16;49,5;T;alla 2a;pea;90
17;49,8;T;alla 2a;pea;90
18;49,9;T;alla 2a;pea;90
19;50;T;alla 2a;pea;90
20;50,2;T;alla 2a;pea;90
21;50,4;T;alla 2a;pea;90
22;50,6;T;alla 2a;pea;90
23;50,7;T;alla 2a;pea;90
24;50,8;T;alla 2a;pea;90
0;39,4;T;alla 2a;pea;97
1;40,4;T;alla 2a;pea;97
2;41,5;T;alla 2a;pea;97
3;42,5;T;alla 2a;pea;97
4;43,5;T;alla 2a;pea;97
5;44,5;T;alla 2a;pea;97
6;45,4;T;alla 2a;pea;97
7;46,2;T;alla 2a;pea;97
8;46,8;T;alla 2a;pea;97
9;47,5;T;alla 2a;pea;97
10;48,1;T;alla 2a;pea;97
11;48,8;T;alla 2a;pea;97
12;49,3;T;alla 2a;pea;97
13;49,7;T;alla 2a;pea;97
14;50;T;alla 2a;pea;97
15;50,2;T;alla 2a;pea;97
16;50,4;T;alla 2a;pea;97
17;50,6;T;alla 2a;pea;97
18;50,8;T;alla 2a;pea;97
19;50,9;T;alla 2a;pea;97
20;51,1;T;alla 2a;pea;97
21;51,2;T;alla 2a;pea;97
22;51,4;T;alla 2a;pea;97
23;51,6;T;alla 2a;pea;97
24;51,7;T;alla 2a;pea;97
24;10;T;üle 2a;mass;3
30;11,1;T;üle 2a;mass;3
36;11,8;T;üle 2a;mass;3
42;12,5;T;üle 2a;mass;3
48;13,3;T;üle 2a;mass;3
54;14;T;üle 2a;mass;3
60;15;T;üle 2a;mass;3
66;15,6;T;üle 2a;mass;3
72;16,3;T;üle 2a;mass;3
78;17;T;üle 2a;mass;3
84;18;T;üle 2a;mass;3
90;19;T;üle 2a;mass;3
96;20;T;üle 2a;mass;3
102;21;T;üle 2a;mass;3
108;22;T;üle 2a;mass;3
114;23;T;üle 2a;mass;3
120;24;T;üle 2a;mass;3
126;25;T;üle 2a;mass;3
132;26;T;üle 2a;mass;3
138;27,6;T;üle 2a;mass;3
144;29;T;üle 2a;mass;3
150;30,8;T;üle 2a;mass;3
156;32,6;T;üle 2a;mass;3
162;35;T;üle 2a;mass;3
168;36,7;T;üle 2a;mass;3
174;39;T;üle 2a;mass;3
180;40,8;T;üle 2a;mass;3
186;42,3;T;üle 2a;mass;3
192;44;T;üle 2a;mass;3
198;45,5;T;üle 2a;mass;3
204;46,7;T;üle 2a;mass;3
210;48;T;üle 2a;mass;3
216;49;T;üle 2a;mass;3
222;49,5;T;üle 2a;mass;3
24;11;T;üle 2a;mass;10
30;12;T;üle 2a;mass;10
36;12,6;T;üle 2a;mass;10
42;13,4;T;üle 2a;mass;10
48;14,5;T;üle 2a;mass;10
54;15,3;T;üle 2a;mass;10
60;16;T;üle 2a;mass;10
66;17;T;üle 2a;mass;10
72;18;T;üle 2a;mass;10
78;18,7;T;üle 2a;mass;10
84;19,6;T;üle 2a;mass;10
90;20,7;T;üle 2a;mass;10
96;21,4;T;üle 2a;mass;10
102;22,3;T;üle 2a;mass;10
108;23,5;T;üle 2a;mass;10
114;25;T;üle 2a;mass;10
120;26;T;üle 2a;mass;10
126;27;T;üle 2a;mass;10
132;28,7;T;üle 2a;mass;10
138;30,5;T;üle 2a;mass;10
144;32;T;üle 2a;mass;10
150;34;T;üle 2a;mass;10
156;36;T;üle 2a;mass;10
162;38,7;T;üle 2a;mass;10
168;40,7;T;üle 2a;mass;10
174;42,6;T;üle 2a;mass;10
180;44,5;T;üle 2a;mass;10
186;46;T;üle 2a;mass;10
192;47,4;T;üle 2a;mass;10
198;48,6;T;üle 2a;mass;10
204;49,5;T;üle 2a;mass;10
210;50,8;T;üle 2a;mass;10
216;52;T;üle 2a;mass;10
222;52,4;T;üle 2a;mass;10
24;11,5;T;üle 2a;mass;25
30;12,7;T;üle 2a;mass;25
36;13,4;T;üle 2a;mass;25
42;14,3;T;üle 2a;mass;25
48;15,3;T;üle 2a;mass;25
54;16;T;üle 2a;mass;25
60;17;T;üle 2a;mass;25
66;18;T;üle 2a;mass;25
72;19;T;üle 2a;mass;25
78;20;T;üle 2a;mass;25
84;21;T;üle 2a;mass;25
90;22;T;üle 2a;mass;25
96;23;T;üle 2a;mass;25
102;24;T;üle 2a;mass;25
108;25,5;T;üle 2a;mass;25
114;27;T;üle 2a;mass;25
120;28;T;üle 2a;mass;25
126;30;T;üle 2a;mass;25
132;32;T;üle 2a;mass;25
138;34;T;üle 2a;mass;25
144;35,5;T;üle 2a;mass;25
150;38;T;üle 2a;mass;25
156;40;T;üle 2a;mass;25
162;43;T;üle 2a;mass;25
168;45;T;üle 2a;mass;25
174;47;T;üle 2a;mass;25
180;48,5;T;üle 2a;mass;25
186;50;T;üle 2a;mass;25
192;51,5;T;üle 2a;mass;25
198;52,5;T;üle 2a;mass;25
204;53,5;T;üle 2a;mass;25
210;54,5;T;üle 2a;mass;25
216;55;T;üle 2a;mass;25
222;55,5;T;üle 2a;mass;25
24;12;T;üle 2a;mass;50
30;13;T;üle 2a;mass;50
36;14,7;T;üle 2a;mass;50
42;16;T;üle 2a;mass;50
48;17;T;üle 2a;mass;50
54;18;T;üle 2a;mass;50
60;19;T;üle 2a;mass;50
66;20;T;üle 2a;mass;50
72;21;T;üle 2a;mass;50
78;22;T;üle 2a;mass;50
84;23;T;üle 2a;mass;50
90;24;T;üle 2a;mass;50
96;25,5;T;üle 2a;mass;50
102;27;T;üle 2a;mass;50
108;28;T;üle 2a;mass;50
114;29,7;T;üle 2a;mass;50
120;31,5;T;üle 2a;mass;50
126;33;T;üle 2a;mass;50
132;35;T;üle 2a;mass;50
138;37,5;T;üle 2a;mass;50
144;40;T;üle 2a;mass;50
150;43;T;üle 2a;mass;50
156;45,5;T;üle 2a;mass;50
162;48;T;üle 2a;mass;50
168;50;T;üle 2a;mass;50
174;52;T;üle 2a;mass;50
180;54;T;üle 2a;mass;50
186;55,4;T;üle 2a;mass;50
192;56,4;T;üle 2a;mass;50
198;57,7;T;üle 2a;mass;50
204;58,3;T;üle 2a;mass;50
210;59;T;üle 2a;mass;50
216;59,7;T;üle 2a;mass;50
222;60,3;T;üle 2a;mass;50
24;13;T;üle 2a;mass;75
30;14,4;T;üle 2a;mass;75
36;16;T;üle 2a;mass;75
42;17;T;üle 2a;mass;75
48;18;T;üle 2a;mass;75
54;19;T;üle 2a;mass;75
60;20,4;T;üle 2a;mass;75
66;22;T;üle 2a;mass;75
72;23;T;üle 2a;mass;75
78;24;T;üle 2a;mass;75
84;25,4;T;üle 2a;mass;75
90;26,5;T;üle 2a;mass;75
96;28;T;üle 2a;mass;75
102;29,5;T;üle 2a;mass;75
108;31;T;üle 2a;mass;75
114;33;T;üle 2a;mass;75
120;35;T;üle 2a;mass;75
126;37,5;T;üle 2a;mass;75
132;40;T;üle 2a;mass;75
138;43;T;üle 2a;mass;75
144;46;T;üle 2a;mass;75
150;49;T;üle 2a;mass;75
156;52;T;üle 2a;mass;75
162;54,5;T;üle 2a;mass;75
168;56,5;T;üle 2a;mass;75
174;59;T;üle 2a;mass;75
180;60,4;T;üle 2a;mass;75
186;61,4;T;üle 2a;mass;75
192;62,4;T;üle 2a;mass;75
198;63,3;T;üle 2a;mass;75
204;64;T;üle 2a;mass;75
210;64,6;T;üle 2a;mass;75
216;65;T;üle 2a;mass;75
222;65,4;T;üle 2a;mass;75
24;14;T;üle 2a;mass;90
30;15,6;T;üle 2a;mass;90
36;17;T;üle 2a;mass;90
42;18,3;T;üle 2a;mass;90
48;19,5;T;üle 2a;mass;90
54;21;T;üle 2a;mass;90
60;22,4;T;üle 2a;mass;90
66;24;T;üle 2a;mass;90
72;25,4;T;üle 2a;mass;90
78;27;T;üle 2a;mass;90
84;28,4;T;üle 2a;mass;90
90;30;T;üle 2a;mass;90
96;31,4;T;üle 2a;mass;90
102;33,3;T;üle 2a;mass;90
108;35,4;T;üle 2a;mass;90
114;38;T;üle 2a;mass;90
120;40,4;T;üle 2a;mass;90
126;43;T;üle 2a;mass;90
132;45,6;T;üle 2a;mass;90
138;49;T;üle 2a;mass;90
144;52;T;üle 2a;mass;90
150;55,7;T;üle 2a;mass;90
156;58,3;T;üle 2a;mass;90
162;61;T;üle 2a;mass;90
168;63,4;T;üle 2a;mass;90
174;65,5;T;üle 2a;mass;90
180;67;T;üle 2a;mass;90
186;68;T;üle 2a;mass;90
192;69;T;üle 2a;mass;90
198;70;T;üle 2a;mass;90
204;70,6;T;üle 2a;mass;90
210;71,3;T;üle 2a;mass;90
216;72;T;üle 2a;mass;90
222;72,5;T;üle 2a;mass;90
24;16;T;üle 2a;mass;97
30;17;T;üle 2a;mass;97
36;18;T;üle 2a;mass;97
42;19,5;T;üle 2a;mass;97
48;21;T;üle 2a;mass;97
54;22,3;T;üle 2a;mass;97
60;24;T;üle 2a;mass;97
66;26;T;üle 2a;mass;97
72;27,5;T;üle 2a;mass;97
78;29,5;T;üle 2a;mass;97
84;31;T;üle 2a;mass;97
90;33;T;üle 2a;mass;97
96;35;T;üle 2a;mass;97
102;38;T;üle 2a;mass;97
108;40,4;T;üle 2a;mass;97
114;44;T;üle 2a;mass;97
120;47;T;üle 2a;mass;97
126;50,5;T;üle 2a;mass;97
132;54;T;üle 2a;mass;97
138;58;T;üle 2a;mass;97
144;62;T;üle 2a;mass;97
150;66;T;üle 2a;mass;97
156;68,5;T;üle 2a;mass;97
162;70,5;T;üle 2a;mass;97
168;72,4;T;üle 2a;mass;97
174;74;T;üle 2a;mass;97
180;75;T;üle 2a;mass;97
186;76;T;üle 2a;mass;97
192;76,8;T;üle 2a;mass;97
198;77,4;T;üle 2a;mass;97
204;78;T;üle 2a;mass;97
210;78,4;T;üle 2a;mass;97
216;78,8;T;üle 2a;mass;97
222;79,4;T;üle 2a;mass;97
60;13,8;T;üle 2a;KMI;5
66;13,65;T;üle 2a;KMI;5
72;13,5;T;üle 2a;KMI;5
78;13,3;T;üle 2a;KMI;5
84;13,2;T;üle 2a;KMI;5
90;13,15;T;üle 2a;KMI;5
96;13,2;T;üle 2a;KMI;5
102;13,3;T;üle 2a;KMI;5
108;13,4;T;üle 2a;KMI;5
114;13,5;T;üle 2a;KMI;5
120;13,6;T;üle 2a;KMI;5
126;13,8;T;üle 2a;KMI;5
132;14;T;üle 2a;KMI;5
138;14,2;T;üle 2a;KMI;5
144;14,4;T;üle 2a;KMI;5
150;14,7;T;üle 2a;KMI;5
156;15;T;üle 2a;KMI;5
162;15,4;T;üle 2a;KMI;5
168;15,7;T;üle 2a;KMI;5
174;16;T;üle 2a;KMI;5
180;16,45;T;üle 2a;KMI;5
186;16,8;T;üle 2a;KMI;5
192;17,2;T;üle 2a;KMI;5
198;17,6;T;üle 2a;KMI;5
204;18;T;üle 2a;KMI;5
210;18,25;T;üle 2a;KMI;5
216;18,5;T;üle 2a;KMI;5
222;18,6;T;üle 2a;KMI;5
60;14,75;T;üle 2a;KMI;15
66;14,6;T;üle 2a;KMI;15
72;14,45;T;üle 2a;KMI;15
78;14,25;T;üle 2a;KMI;15
84;14,15;T;üle 2a;KMI;15
90;14,1;T;üle 2a;KMI;15
96;14,03;T;üle 2a;KMI;15
102;14,1;T;üle 2a;KMI;15
108;14,15;T;üle 2a;KMI;15
114;14,25;T;üle 2a;KMI;15
120;14,4;T;üle 2a;KMI;15
126;14,6;T;üle 2a;KMI;15
132;14,8;T;üle 2a;KMI;15
138;15;T;üle 2a;KMI;15
144;15,3;T;üle 2a;KMI;15
150;15,65;T;üle 2a;KMI;15
156;16;T;üle 2a;KMI;15
162;16,5;T;üle 2a;KMI;15
168;16,85;T;üle 2a;KMI;15
174;17,3;T;üle 2a;KMI;15
180;17,55;T;üle 2a;KMI;15
186;17,9;T;üle 2a;KMI;15
192;18,2;T;üle 2a;KMI;15
198;18,5;T;üle 2a;KMI;15
204;18,65;T;üle 2a;KMI;15
210;18,8;T;üle 2a;KMI;15
216;19;T;üle 2a;KMI;15
222;19,1;T;üle 2a;KMI;15
60;15,2;T;üle 2a;KMI;25
66;15;T;üle 2a;KMI;25
72;14,8;T;üle 2a;KMI;25
78;14,6;T;üle 2a;KMI;25
84;14,55;T;üle 2a;KMI;25
90;14,51;T;üle 2a;KMI;25
96;14,45;T;üle 2a;KMI;25
102;14,51;T;üle 2a;KMI;25
108;14,6;T;üle 2a;KMI;25
114;14,75;T;üle 2a;KMI;25
120;14,95;T;üle 2a;KMI;25
126;15,1;T;üle 2a;KMI;25
132;15,35;T;üle 2a;KMI;25
138;15,63;T;üle 2a;KMI;25
144;16;T;üle 2a;KMI;25
150;16,35;T;üle 2a;KMI;25
156;16,75;T;üle 2a;KMI;25
162;17,2;T;üle 2a;KMI;25
168;17,6;T;üle 2a;KMI;25
174;18;T;üle 2a;KMI;25
180;18,4;T;üle 2a;KMI;25
186;18,7;T;üle 2a;KMI;25
192;19;T;üle 2a;KMI;25
198;19,2;T;üle 2a;KMI;25
204;19,4;T;üle 2a;KMI;25
210;19,6;T;üle 2a;KMI;25
216;19,8;T;üle 2a;KMI;25
222;19,85;T;üle 2a;KMI;25
60;15,8;T;üle 2a;KMI;50
66;15,7;T;üle 2a;KMI;50
72;15,55;T;üle 2a;KMI;50
78;15,47;T;üle 2a;KMI;50
84;15,4;T;üle 2a;KMI;50
90;15,34;T;üle 2a;KMI;50
96;15,4;T;üle 2a;KMI;50
102;15,47;T;üle 2a;KMI;50
108;15,55;T;üle 2a;KMI;50
114;15,7;T;üle 2a;KMI;50
120;15,9;T;üle 2a;KMI;50
126;16,2;T;üle 2a;KMI;50
132;16,5;T;üle 2a;KMI;50
138;16,85;T;üle 2a;KMI;50
144;17,25;T;üle 2a;KMI;50
150;17,75;T;üle 2a;KMI;50
156;18,2;T;üle 2a;KMI;50
162;18,7;T;üle 2a;KMI;50
168;19,1;T;üle 2a;KMI;50
174;19,5;T;üle 2a;KMI;50
180;19,85;T;üle 2a;KMI;50
186;20,2;T;üle 2a;KMI;50
192;20,45;T;üle 2a;KMI;50
198;20,7;T;üle 2a;KMI;50
204;20,9;T;üle 2a;KMI;50
210;21,1;T;üle 2a;KMI;50
216;21,2;T;üle 2a;KMI;50
222;21,3;T;üle 2a;KMI;50
60;16,8;T;üle 2a;KMI;75
66;16,7;T;üle 2a;KMI;75
72;16,55;T;üle 2a;KMI;75
78;16,47;T;üle 2a;KMI;75
84;16,4;T;üle 2a;KMI;75
90;16,47;T;üle 2a;KMI;75
96;16,5;T;üle 2a;KMI;75
102;16,6;T;üle 2a;KMI;75
108;16,8;T;üle 2a;KMI;75
114;17;T;üle 2a;KMI;75
120;17,35;T;üle 2a;KMI;75
126;17,65;T;üle 2a;KMI;75
132;18;T;üle 2a;KMI;75
138;18,5;T;üle 2a;KMI;75
144;19;T;üle 2a;KMI;75
150;19,5;T;üle 2a;KMI;75
156;19,9;T;üle 2a;KMI;75
162;20,4;T;üle 2a;KMI;75
168;20,9;T;üle 2a;KMI;75
174;21,45;T;üle 2a;KMI;75
180;21,85;T;üle 2a;KMI;75
186;22,2;T;üle 2a;KMI;75
192;22,45;T;üle 2a;KMI;75
198;22,65;T;üle 2a;KMI;75
204;22,8;T;üle 2a;KMI;75
210;23;T;üle 2a;KMI;75
216;23,2;T;üle 2a;KMI;75
222;23,3;T;üle 2a;KMI;75
60;17,8;T;üle 2a;KMI;85
66;17,7;T;üle 2a;KMI;85
72;17,5;T;üle 2a;KMI;85
78;17,3;T;üle 2a;KMI;85
84;17,2;T;üle 2a;KMI;85
90;17,15;T;üle 2a;KMI;85
96;17,2;T;üle 2a;KMI;85
102;17,45;T;üle 2a;KMI;85
108;17,7;T;üle 2a;KMI;85
114;18;T;üle 2a;KMI;85
120;18,3;T;üle 2a;KMI;85
126;18,75;T;üle 2a;KMI;85
132;19,2;T;üle 2a;KMI;85
138;19,8;T;üle 2a;KMI;85
144;20,4;T;üle 2a;KMI;85
150;21;T;üle 2a;KMI;85
156;21,4;T;üle 2a;KMI;85
162;21,8;T;üle 2a;KMI;85
168;22,25;T;üle 2a;KMI;85
174;22,7;T;üle 2a;KMI;85
180;23,05;T;üle 2a;KMI;85
186;23,4;T;üle 2a;KMI;85
192;23,6;T;üle 2a;KMI;85
198;23,8;T;üle 2a;KMI;85
204;24,06;T;üle 2a;KMI;85
210;24,25;T;üle 2a;KMI;85
216;24,5;T;üle 2a;KMI;85
222;24,6;T;üle 2a;KMI;85
60;17,9;T;üle 2a;KMI;ülekaal
66;17,77;T;üle 2a;KMI;ülekaal
72;17,65;T;üle 2a;KMI;ülekaal
78;17,7;T;üle 2a;KMI;ülekaal
84;17,8;T;üle 2a;KMI;ülekaal
90;18;T;üle 2a;KMI;ülekaal
96;18,4;T;üle 2a;KMI;ülekaal
